Supermarket,Latitude,Longitude,Suburb,Postcode,Address
Unnamed Supermarket,-37.9705899,145.0687847,No Suburb,No Postcode,
KimChi Korean Japanese Grocery,-37.802712,144.977554,No Suburb,No Postcode,161-163 Brunswick Street
Coles,-37.8915244,145.14381,No Suburb,No Postcode,30-42 Centreway
Coles,-37.8175611,144.9649673,No Suburb,No Postcode,276 Flinders Street
Woolworths,-37.9009686,145.0910073,No Suburb,No Postcode,39 Hanover Street
IGA X-press + Liquor,-37.825805,144.957017,Southbank,3006,46 Whiteman Street
IGA,-37.8164808,144.961159,No Suburb,No Postcode,
Woolworths,-38.3453039,141.6032498,No Suburb,No Postcode,
Ballan IGA,-37.6003522,144.2249599,No Suburb,No Postcode,
IGA Port Fairy,-38.3846768,142.2366779,No Suburb,No Postcode,
Barwon Heads General Store,-38.2805875,144.4916934,No Suburb,No Postcode,
Venus Bay General Store,-38.7020259,145.8204444,No Suburb,No Postcode,
Woolworths,-37.699412,144.7778007,No Suburb,No Postcode,
ALDI,-37.699312,144.7785142,No Suburb,No Postcode,
IGA,-36.3583955,146.3165864,Wangaratta,3677,1-5 Roy Street East
Aldi,-36.3563765,146.327161,Wangaratta,3677,13-15 Chisholm Street
Coles,-36.3599515,146.3172286,No Suburb,No Postcode,2-18 Ryley Street
Woolworths,-37.811152,144.965377,No Suburb,No Postcode,
Coles,-37.9865785,145.2183528,No Suburb,No Postcode,23-55 McCrae Street
About Life,-37.84107,144.940275,Port Melboune,3207,120 Bay Street
IGA,-38.3730163,145.1249803,No Suburb,No Postcode,
Port Melbourne IGA,-37.8418505,144.9395728,Port Melbourne,3207,78 Bay Street
Woolworths,-37.8880208,144.6072287,No Suburb,No Postcode,
IGA,-37.8593771,145.2408419,No Suburb,No Postcode,
Woolworths,-38.0295132,145.3468395,No Suburb,No Postcode,
Coles,-37.7272917,144.895358,Essendon Fields,3041,30 English Street
ALDI,-38.017448,145.3010818,No Suburb,No Postcode,
Sika Supermarket,-37.8044181,144.9772684,No Suburb,No Postcode,105 Brunswick Street
Woolworths,-37.7818758,145.6127209,No Suburb,No Postcode,
Woolworths,-37.5336188,143.8252408,No Suburb,No Postcode,
Coles,-37.5349147,143.8242493,No Suburb,No Postcode,330 Gillies Street North
Coles,-37.6524334,145.5181925,No Suburb,No Postcode,251 Maroondah Highway
Woolworths,-37.7871515,144.92789,No Suburb,No Postcode,
Woolworths,-37.9403963,145.1037428,No Suburb,No Postcode,
Woolworths,-37.7758181,144.9618499,No Suburb,No Postcode,
Coles,-37.7758523,144.9626265,No Suburb,No Postcode,
Coles,-37.8147983,144.9518038,Melbourne,3000,201 Spencer Street
Coles,-37.7691345,145.0013383,No Suburb,No Postcode,25 Separation Street
ALDI,-37.768958,145.000045,No Suburb,No Postcode,
Casa Iberica,-37.7979262,144.9759075,No Suburb,No Postcode,25 Johnston Street
Foodworks,-38.098398,145.7181796,No Suburb,No Postcode,
ALDI,-38.3798844,142.4789514,No Suburb,No Postcode,251-257 Lava Street
Port Campbell Store,-38.6198568,142.9944635,No Suburb,No Postcode,
Ritchie's IGA,-38.484612,142.9806646,No Suburb,3628,27 Main Street
Woolworths,-38.2453496,145.0480895,No Suburb,No Postcode,
Woolworths,-37.8577633,144.8825866,Williamstown,3016,71 Kororoit Creek Road
Unnamed Supermarket,-37.3562427,144.5287703,No Suburb,No Postcode,
Terang Supa IGA,-38.2409286,142.9181945,No Suburb,No Postcode,
IGA,-37.7777999,144.7559358,Deer Park,3023,8 Hatchlands Drive
IGA,-36.4532177,142.0270287,No Suburb,No Postcode,
IGA,-38.6528053,146.201801,No Suburb,No Postcode,
Foodworks,-37.805942,144.98017,Fitzroy,3065,169 Gertrude Street
IGA,-37.809886,144.971151,No Suburb,No Postcode,
Woolworths Metro,-37.810488,144.97004,No Suburb,No Postcode,222 Exhibition Street
Woolworths,-37.8753514,145.408825,No Suburb,No Postcode,
Woolworths,-38.2581576,144.5488679,No Suburb,No Postcode,
Coles,-37.913326,144.9927645,Brighton,No Postcode,26 Church Street
Country Grocers & Liquor,-37.3885146,144.3213683,No Suburb,No Postcode,
Coles,-38.0140108,145.3222251,No Suburb,No Postcode,215-225 Parkhill Drive
ALDI,-37.650551,145.0691768,No Suburb,No Postcode,
Woolworths,-37.0466004,143.7408384,No Suburb,No Postcode,
Woolworths,-37.7729494,145.1136659,No Suburb,No Postcode,
Foodworks,-37.80314,144.9490587,No Suburb,No Postcode,
Chelsea Heights IGA,-38.0451707,145.1362888,Chelsea Heights,3196,199 Thames Promenade
IGA,-37.8198464,145.009407,No Suburb,3121,516 Bridge Road
Ritchies,-37.0560719,142.7814962,No Suburb,No Postcode,
Morgan's IGA,-37.6838522,144.5826013,No Suburb,No Postcode,
Foodworks,-37.6841682,144.5785968,No Suburb,No Postcode,
FoodWorks,-38.5351816,143.9739247,No Suburb,No Postcode,
Coles,-37.8815939,144.7032684,No Suburb,No Postcode,50 Old Geelong Road
ALDI,-37.809602,144.9954593,No Suburb,No Postcode,313-325 Victoria Street
Coles,-37.8576259,144.8974163,No Suburb,No Postcode,29 Douglas Parade
Coles,-37.7652693,145.0918512,No Suburb,No Postcode,101 Manningham Road
Woolworths,-37.656882,145.0816743,No Suburb,No Postcode,
Minh Phat Asian Supermarket,-37.8095858,144.9963729,No Suburb,No Postcode,2-8 Nicholson Street
Supa IGA,-37.6018732,143.8679295,No Suburb,No Postcode,
Lucky 7,-37.5811826,144.7145268,No Suburb,No Postcode,
Woolworths,-37.8992104,144.662848,No Suburb,No Postcode,
Woolworths,-38.1370122,144.3477524,No Suburb,No Postcode,
Woolworths,-37.6875423,144.8849079,Gladstone Park,3043,34 Gladstone Park Drive
IGA,-37.5821232,144.7288356,No Suburb,No Postcode,
Woolworths,-37.7577207,145.3136509,Chirnside Park,3116,239-241 Maroondah Highway
Woolworths,-37.8120412,145.2284585,Ringwood,3134,171-175 Maroondah Highway
Woolworths,-34.2067856,142.1386338,No Suburb,No Postcode,
Coles,-37.6543378,145.0188275,No Suburb,No Postcode,571-583 High Street
Coles,-37.8679128,144.9919849,No Suburb,No Postcode,54 Camden Street
Woolworths,-37.868243,144.991277,No Suburb,No Postcode,220 Carlisle Street
Coles,-37.7673811,145.0017674,No Suburb,No Postcode,25 Separation Street
Woolworths,-37.935591,145.1885926,No Suburb,No Postcode,
ALDI,-37.9366727,145.1915257,No Suburb,No Postcode,271 Police Road
Coles,-37.9357915,145.1905999,No Suburb,No Postcode,271 Police Road
Coles,-37.8458418,145.0452563,No Suburb,No Postcode,766 Toorak Road
ALDI,-37.8074444,144.9621938,No Suburb,No Postcode,8 Franklin Street
IGA,-37.8078326,144.9609707,No Suburb,No Postcode,
Woolworths,-37.8096773,144.9954578,No Suburb,No Postcode,
Aldi,-38.0627199,145.3395845,No Suburb,No Postcode,
Coles,-38.061441,145.3397959,No Suburb,No Postcode,95 O'Shea Road
Black Rock Grocer,-37.9748874,145.0161043,No Suburb,No Postcode,
Coles,-37.8425504,145.2667021,No Suburb,No Postcode,7-13 High Street
French's IGA X-Press,-37.8759542,145.1779801,No Suburb,No Postcode,
IGA,-37.8097374,144.98563,No Suburb,No Postcode,
ALDI,-38.1397884,145.1260897,Frankston,No Postcode,28 Beach Street
IGA,-37.8765871,144.9965585,No Suburb,No Postcode,
Coles,-38.1071313,145.2818531,No Suburb,No Postcode,
Hinoki Japanese Pantry,-37.8005727,144.983832,No Suburb,No Postcode,279 Smith Street
Organic Wholefoods,-37.800652,144.983823,No Suburb,No Postcode,277 Smith Street
Foodworks,-37.7998871,144.9922356,No Suburb,No Postcode,
Foodworks,-37.7943152,144.9298631,No Suburb,No Postcode,484 Macaulay Road
Coles,-37.7645234,144.9219203,No Suburb,No Postcode,20 Homer Street
The Source Bulk Foods,-37.8028064,144.9837684,No Suburb,No Postcode,202 Smith Street
Woolworths,-37.7701721,145.0416219,No Suburb,No Postcode,
Poowong IGA X-Press,-38.3426959,145.7663866,Poowong,No Postcode,Ranceby Road
Coles,-37.9048141,145.1622732,No Suburb,No Postcode,
ALDI,-37.9057667,145.1627595,No Suburb,No Postcode,
Unnamed Supermarket,-37.463399,144.6778788,No Suburb,No Postcode,
Ritchies,-38.3339803,144.9649093,No Suburb,No Postcode,
Leo's Fine Food & Wine,-37.8488155,145.0766461,No Suburb,No Postcode,1 Summerhill Road
Coles,-38.1069769,147.0644793,No Suburb,No Postcode,37-79 Cunninghame Street
Woolworths,-38.2368061,146.4294341,No Suburb,No Postcode,
Coles,-38.1939842,146.5398932,No Suburb,No Postcode,146-188 Franklin Street
Coles,-37.7149789,144.88468,No Suburb,No Postcode,29-35 Louis Street
Woolworths,-37.7146375,144.887236,No Suburb,No Postcode,
Woolworths,-38.032744,145.2663806,No Suburb,No Postcode,
Major's IGA Supermarket,-36.3610449,144.7006896,No Suburb,No Postcode,
IGA,-37.9036986,145.0407706,Ormond,3204,1 Newhome Grove
Ritchies IGA,-38.0887498,145.1823156,No Suburb,No Postcode,
IGA,-37.6875728,145.1083326,No Suburb,3088,
IGA,-37.74352,145.0646217,No Suburb,3084,90 Lower Plenty Road
Woolworths,-37.7803951,144.8319234,No Suburb,No Postcode,
Foodworks,-37.9359738,145.492205,Cockatoo,3781,34 McBride Street
Coles,-38.3515418,144.9227978,No Suburb,No Postcode,739 Point Nepean Road
Coles,-37.8757512,144.6145175,No Suburb,No Postcode,8 Manor Lakes Boulevard
Coles,-38.267528,144.5238339,No Suburb,No Postcode,77-79 The Terrace
Coles,-37.7518375,144.7756103,No Suburb,No Postcode,28-72 Neale Road
Woolworths,-37.7508329,144.7734061,No Suburb,No Postcode,
Coles,-37.7323759,144.7425236,Caroline Springs,3023,29-35 Lake Street
ALDI,-37.7315698,144.7427972,Caroline Springs,3023,29-35 Lake Street
Coles,-37.901233,145.0903717,No Suburb,No Postcode,39 Hanover Street
Coles,-37.6749254,145.0357476,No Suburb,No Postcode,22 McKimmies Road
Foodworks,-37.0360187,141.2976276,No Suburb,No Postcode,
Wycheproof IGA and Liquor,-36.0762727,143.2259081,Wycheproof,3527,316 Broadway
Woolworths,-35.3376469,143.5580244,No Suburb,No Postcode,
ALDI,-35.3420975,143.5608276,No Suburb,No Postcode,
IGA X-press,-37.7686793,144.97235,No Suburb,3057,326-328 Lygon Street
ALDI,-37.7028795,145.1033101,No Suburb,No Postcode,25 Main Street
McPherson General Store,-36.076008,142.4153186,No Suburb,No Postcode,
Coles,-38.1030621,145.2652502,No Suburb,No Postcode,95 Monahans Road
Woolworths,-38.0744592,144.3574169,No Suburb,No Postcode,
Coles,-38.0759456,144.3556949,Corio,3214,83A Purnell Road
IGA Neerim South Plus Liquor,-38.0162591,145.9541018,No Suburb,3831,"147-155 Main Neerim Road, Neerim South"
Coles,-37.6751442,144.4402008,No Suburb,No Postcode,176 Main Street
La Manna Supermarket,-37.7262703,144.8937304,No Suburb,No Postcode,
IGA Trafalgar,-38.2084944,146.153376,Trafalgar,3824,McCrorey Street
Coles,-37.5781965,144.7293169,No Suburb,No Postcode,2-28 Evans Street
IGA,-37.9864651,145.0334661,No Suburb,No Postcode,
Foodworks,-37.8067458,144.8913566,Seddon,3011,85-87 Charles Street
Coles,-36.1283141,146.8641891,No Suburb,No Postcode,
IGA,-38.2336524,143.1479231,No Suburb,No Postcode,
IGA,-37.7999747,144.9957652,No Suburb,No Postcode,306-310 Johnston Street
Coles,-37.7417028,142.0249015,No Suburb,No Postcode,
Woolworths,-37.9219021,145.0834939,No Suburb,No Postcode,
Woolworths,-37.8294287,145.058971,No Suburb,No Postcode,
Coles,-37.8291542,145.0563202,No Suburb,No Postcode,4-14 Burke Avenue
ALDI,-37.7487656,145.0407238,No Suburb,3081,318 Bell Street
Heidelberg IGA,-37.7491071,145.0426739,No Suburb,3081,28-32 The Mall
IGA X-press,-38.3611907,144.778608,No Suburb,No Postcode,
Unnamed Supermarket,-37.985339,145.2392158,No Suburb,No Postcode,
Aunt Maggies,-37.806295,144.981009,Fitzroy,3065,188 Gertrude Street
Yanakie General Store,-38.8125072,146.2076606,Yanakie,3960,3640 Meeniyan - Promontory Road
ALDI,-37.9287015,145.2513265,No Suburb,No Postcode,1100 Wellington Road
Ritchies,-37.9284957,145.2525168,No Suburb,No Postcode,
ALDI,-37.6550131,145.0163052,No Suburb,No Postcode,
Woolworths,-37.6541932,145.0175181,No Suburb,No Postcode,
Coles,-38.0686223,145.144883,No Suburb,No Postcode,116-118 Gladesville Boulevard
Coles,-37.7273876,144.8065418,No Suburb,No Postcode,80 Taylors Road
ALDI,-37.7263093,144.8066275,No Suburb,No Postcode,80 Taylors Road
Woolworths,-38.0770591,145.2496865,No Suburb,No Postcode,
Woolworths,-38.0770815,145.4836573,No Suburb,No Postcode,
Woolworths,-38.4531708,145.2397764,Cowes,3922,117-133 Thompson Avenue
Coles,-37.9654121,145.1730576,No Suburb,No Postcode,1-5 Douglas Street
Woolworths,-38.5642828,146.6769556,No Suburb,No Postcode,
KFL Supermarkets,-37.7887106,145.1610286,No Suburb,3109,1029 Doncaster Road
Jackson Court Corner Store Asian Grocery,-37.7879725,145.1483196,No Suburb,3108,14 Mitchell Street
KFL Supermarkets,-37.8343706,145.1720266,Forest Hill,3131,293-295 Canterbury Road
Coles,-37.9775716,145.2583643,No Suburb,No Postcode,78 Heatherton Road
Woolworths,-37.9762694,145.2592951,No Suburb,No Postcode,
Marco's IGA,-37.9809432,145.3167652,No Suburb,No Postcode,
Woolworths,-38.1941735,145.1594628,No Suburb,No Postcode,
Woolworths,-37.9841,145.077111,No Suburb,3194,
Coles,-37.9259993,145.1185924,No Suburb,3168,2-4 Cooke Street
Coles,-37.9280896,145.1181472,Clayton,3168,1389-1391 Centre Road
Woolworths,-37.9195218,145.0421121,No Suburb,No Postcode,
ALDI,-38.0060286,145.0852374,Mordialloc,3195,542 Main Street
Woolworths,-38.0080122,145.0867012,Mordialloc,3195,598-618 Main Street
ALDI,-37.9706192,145.0907731,No Suburb,No Postcode,288 Centre Dandenong Road
NQR,-37.5399578,143.8271732,No Suburb,No Postcode,
Woolworths,-37.6278019,145.0274063,Epping,3076,Epping Road & Lyndarum Avenue
Broadford IGA,-37.2047187,145.0459578,No Suburb,No Postcode,
IGA,-37.8928876,144.7282992,Point Cook,3030,48-56 Tom Roberts Parade
IGA Stonemans Village,-36.7749211,144.3051273,Kennington,3550,134 Condon Street
Foodworks,-37.7138737,145.0345145,No Suburb,No Postcode,
Coles,-37.0487286,143.7414417,No Suburb,No Postcode,96 Burke Street
ALDI,-37.0468814,143.7423115,No Suburb,No Postcode,111 Burke Street
Foodworks,-37.8300256,144.9693817,No Suburb,No Postcode,135 Wells Street
Woolworths,-38.1987144,145.4874367,No Suburb,No Postcode,
TT Mart,-37.7788898,144.9781392,Brunswick East,3057,25-27 Nicholson Street
Flinders General Store,-38.4736857,145.0169384,No Suburb,No Postcode,
Piedimonte's IGA,-37.7392053,144.9467635,Pascoe Vale,3044,Bell Street
Coles,-37.0234963,145.1337096,No Suburb,No Postcode,20 Tallarook Street
ALDI,-37.6998024,145.058831,No Suburb,No Postcode,584-604 Grimshaw Street
Elwood Supermarket,-37.8808894,144.9915674,No Suburb,No Postcode,
ALDI,-37.8650285,144.9877554,No Suburb,No Postcode,135 Inkerman Street
Coles,-38.0522568,145.2568486,No Suburb,No Postcode,75 Lynbrook Boulevard
ALDI,-37.7653328,144.9230314,No Suburb,No Postcode,14-16 Hall Street
Coles,-38.0185007,145.306709,No Suburb,No Postcode,22-55 Overland Drive
Woolworths,-38.0168578,145.3006679,No Suburb,No Postcode,
Foodworks,-37.0990737,147.5941986,No Suburb,No Postcode,
Woolworths,-37.5744459,144.9200112,No Suburb,No Postcode,
Ritchies,-38.3571429,144.9047187,No Suburb,No Postcode,
IGA,-37.7920177,144.9193602,No Suburb,No Postcode,
Foodworks,-37.5585738,149.7573691,No Suburb,No Postcode,
ALDI,-37.7497051,144.8605537,No Suburb,No Postcode,
Woolworths,-37.7502451,144.8609684,No Suburb,No Postcode,
Coles,-36.4082906,145.3910392,No Suburb,No Postcode,
Coles,-37.7592178,144.7534185,No Suburb,No Postcode,15-25 Westwood Drive
Woolworths,-37.7230371,144.7516,No Suburb,No Postcode,
Coles,-38.2390054,146.3983912,No Suburb,No Postcode,82 George Street
IGA,-37.5580103,149.7568381,No Suburb,No Postcode,
IGA,-37.9663604,147.0796469,No Suburb,3862,67 Tyers Street
Ritchie's IGA,-38.0219331,145.1181056,Aspendale Gardens,3195,11 Narelle Drive
Natural Food Market,-37.7165059,145.1209881,No Suburb,No Postcode,33 Were Street
Foodworks,-37.7159148,145.1211658,Montmorency,3094,49 Were Street
Woolworths,-37.6666811,145.060937,No Suburb,No Postcode,
Champions IGA St Leonards,-38.1714402,144.7172909,No Suburb,No Postcode,1370 Murradoc Road
Tip Top Butchers,-37.7206159,145.1378877,No Suburb,No Postcode,266 Bolton Street
Toora Supermarket,-38.6652394,146.3234704,No Suburb,No Postcode,
ALDI,-38.1697376,144.3922925,No Suburb,No Postcode,
Woolworths,-38.1698198,144.3932902,No Suburb,No Postcode,
Woolworths,-38.1685801,144.3885481,No Suburb,No Postcode,
Woolworths,-37.2825217,142.9271172,No Suburb,No Postcode,
NQR,-38.0229886,145.3049547,No Suburb,No Postcode,
Coles,-37.8732777,144.7759322,No Suburb,No Postcode,1-23 Central Avenue
Woolworths,-38.0896434,144.3371719,No Suburb,No Postcode,
Coles,-38.1465194,144.3634189,No Suburb,No Postcode,
Supa IGA Thomastown,-37.6777574,144.9989322,No Suburb,3074,122 Main Street
Coles,-37.7824349,144.9148103,No Suburb,No Postcode,320-380 Epsom Road
ALDI,-38.2230476,145.0403197,No Suburb,No Postcode,M02 Main Street
Bittern IGA,-38.3366826,145.1770695,No Suburb,No Postcode,
IGA,-37.9232123,145.166114,No Suburb,No Postcode,
IGA,-37.9807237,146.7865174,No Suburb,No Postcode,
Coles,-37.7587406,144.7901048,No Suburb,No Postcode,
IGA X-press plus Liquor,-37.804482,144.966104,Carlton,3053,109 Lygon Street
Coles,-37.9347488,145.1568383,No Suburb,No Postcode,819-829 Princes Highway
Rosedale IGA,-38.1517212,146.7882204,No Suburb,No Postcode,
ALDI,-37.7617795,145.1696944,No Suburb,No Postcode,181 Reynolds Road
